feature_name,family,concept,n_redundant_pairs,max_corr_with,max_corr
pull_rate_fut_10bps_60s,pull_vs_refill,pull_rate_10bps,4,pull_rate_fut_5bps_60s,0.999968
pull_rate_fut_1bps_5s,pull_rate_variants,pull_rate_1bps,4,pull_rate_fut_2bps_5s,0.995734
pull_rate_shock_spot_10bps_60s,pull_vs_refill,pull_rate_shock_10bps,4,pull_rate_shock_spot_5bps_60s,0.987927
pull_rate_spot_10bps_60s,pull_vs_refill,pull_rate_10bps,4,pull_rate_spot_5bps_60s,0.999986
pull_rate_spot_1bps_5s,pull_vs_refill,pull_rate_1bps,4,pull_rate_spot_2bps_5s,0.997578
d1_pull_rate_fut_10bps_5s,pull_rate_variants,d1_pull_rate_10bps,3,d1_pull_rate_fut_5bps_5s,0.999879
d1_pull_rate_spot_10bps_5s,pull_rate_variants,d1_pull_rate_10bps,3,d1_pull_rate_spot_5bps_5s,0.999928
d2_pull_rate_fut_10bps_5s,pull_rate_variants,d2_pull_rate_10bps,3,d2_pull_rate_fut_5bps_5s,0.999886
d2_pull_rate_spot_10bps_5s,pull_rate_variants,d2_pull_rate_10bps,3,d2_pull_rate_spot_5bps_5s,0.999934
mad_pull_rate_fut_10bps_5s,pull_rate_variants,mad_pull_rate_10bps,3,mad_pull_rate_fut_5bps_5s,1.0
mad_pull_rate_spot_10bps_5s,pull_rate_variants,mad_pull_rate_10bps,3,mad_pull_rate_spot_2bps_5s,1.0
median_pull_rate_fut_10bps_5s,pull_rate_variants,median_pull_rate_10bps,3,median_pull_rate_fut_5bps_5s,0.99989
median_pull_rate_spot_10bps_5s,pull_rate_variants,median_pull_rate_10bps,3,median_pull_rate_spot_5bps_5s,0.999939
refill_rate_fut_1bps_60s,refill_rate_variants,refill_rate_1bps,3,refill_rate_fut_2bps_60s,0.979839
refill_rate_spot_1bps_60s,pull_vs_refill,refill_rate_1bps,3,refill_rate_spot_2bps_60s,0.973993
taker_imbalance_fut_300s,taker_imbalance_variants,taker_imbalance,3,median_taker_imbalance_fut_5s,0.987984
taker_imbalance_spot_300s,taker_imbalance_variants,taker_imbalance,3,median_taker_imbalance_spot_5s,0.982636
basis_300s,basis_features,basis,2,basis_vwap_sf_300s,0.999297
basis_60s,basis_features,basis,2,basis_sf_mid_60s,1.0
d1_pull_rate_fut_1bps_5s,pull_rate_variants,d1_pull_rate_1bps,2,d1_pull_rate_fut_2bps_5s,0.99466
d1_pull_rate_spot_1bps_5s,pull_rate_variants,d1_pull_rate_1bps,2,d1_pull_rate_spot_2bps_5s,0.996883
d2_pull_rate_fut_1bps_5s,pull_rate_variants,d2_pull_rate_1bps,2,d2_pull_rate_fut_2bps_5s,0.994868
d2_pull_rate_spot_1bps_5s,pull_rate_variants,d2_pull_rate_1bps,2,d2_pull_rate_spot_2bps_5s,0.997132
depth_gradient_div_fut_minus_spot_struct50_300s,depth_notional_variants,depth_gradient_div_minus_struct50,2,depth_gradient_fut_struct50_300s,0.95746
depth_gradient_div_fut_minus_spot_struct50_900s,depth_notional_variants,depth_gradient_div_minus_struct50,2,depth_gradient_fut_struct50_900s,0.999451
liq_concentration_ask_fut_struct50_60s,liq_concentration_variants,liq_concentration_ask_struct50,2,liq_concentration_bid_fut_struct50_60s,0.999783
liq_imb_persist_sf_struct100_300s,book_shape_imbalance,liq_imb_persist_sf_struct100,2,liq_imb_persist_sf_struct50_900s,0.99984
mad_pull_rate_fut_10bps_60s,pull_rate_variants,mad_pull_rate_10bps,2,mad_pull_rate_fut_5bps_60s,0.999991
mad_pull_rate_fut_1bps_5s,pull_rate_variants,mad_pull_rate_1bps,2,mad_pull_rate_fut_2bps_5s,0.998735
mad_pull_rate_spot_10bps_60s,pull_rate_variants,mad_pull_rate_10bps,2,mad_pull_rate_spot_5bps_60s,0.999994
mad_pull_rate_spot_1bps_5s,pull_rate_variants,mad_pull_rate_1bps,2,mad_pull_rate_spot_2bps_5s,0.999686
median_pull_rate_fut_10bps_60s,pull_rate_variants,median_pull_rate_10bps,2,median_pull_rate_fut_5bps_60s,0.999975
median_pull_rate_fut_1bps_5s,pull_rate_variants,median_pull_rate_1bps,2,median_pull_rate_fut_2bps_5s,0.995314
median_pull_rate_spot_10bps_60s,pull_rate_variants,median_pull_rate_10bps,2,median_pull_rate_spot_5bps_60s,0.999988
median_pull_rate_spot_1bps_5s,pull_rate_variants,median_pull_rate_1bps,2,median_pull_rate_spot_2bps_5s,0.997368
median_queue_pressure_fut_10bps_5s,queue_pressure_variants,median_queue_pressure_10bps,2,queue_pressure_fut_10bps_5s,0.976503
median_queue_pressure_spot_10bps_5s,queue_pressure_variants,median_queue_pressure_10bps,2,queue_pressure_spot_10bps_5s,0.965716
net_add_fut_10bps_15s,net_pressure_variants,net_add_10bps,2,net_pressure_fut_10bps_15s,1.0
net_add_fut_10bps_60s,net_pressure_variants,net_add_10bps,2,net_pressure_fut_10bps_60s,1.0
net_add_fut_2bps_15s,net_pressure_variants,net_add_2bps,2,net_add_pressure_fut_2bps_15s,1.0
net_add_fut_2bps_60s,net_pressure_variants,net_add_2bps,2,net_pressure_fut_2bps_60s,1.0
net_add_fut_5bps_15s,net_pressure_variants,net_add_5bps,2,net_pressure_fut_5bps_15s,1.0
net_add_fut_5bps_60s,net_pressure_variants,net_add_5bps,2,net_pressure_fut_5bps_60s,1.0
net_add_pressure_spot_10bps_15s,net_pressure_variants,net_add_pressure_10bps,2,net_add_spot_10bps_15s,1.0
net_add_pressure_spot_10bps_60s,net_pressure_variants,net_add_pressure_10bps,2,net_add_spot_10bps_60s,1.0
net_add_pressure_spot_2bps_15s,net_pressure_variants,net_add_pressure_2bps,2,net_add_spot_2bps_15s,1.0
net_add_pressure_spot_2bps_60s,net_pressure_variants,net_add_pressure_2bps,2,net_add_spot_2bps_60s,1.0
net_add_pressure_spot_5bps_15s,net_pressure_variants,net_add_pressure_5bps,2,net_add_spot_5bps_15s,1.0
net_add_pressure_spot_5bps_60s,net_pressure_variants,net_add_pressure_5bps,2,net_add_spot_5bps_60s,1.0
pull_rate_fut_10bps_15s,pull_rate_variants,pull_rate_10bps,2,pull_rate_fut_5bps_15s,0.999928
pull_rate_fut_1bps_60s,pull_vs_refill,pull_rate_1bps,2,pull_rate_fut_5bps_60s,0.998126
pull_rate_fut_1bps_persist_15s,pull_vs_refill,pull_rate_1bps_persist,2,pull_rate_fut_2bps_persist_15s,0.973598
pull_rate_fut_2bps_5s,pull_vs_refill,pull_rate_2bps,2,pull_rate_fut_5bps_5s,0.99888
pull_rate_shock_spot_1bps_60s,pull_rate_variants,pull_rate_shock_1bps,2,pull_rate_shock_spot_5bps_60s,0.958573
pull_rate_spot_10bps_15s,pull_rate_variants,pull_rate_10bps,2,pull_rate_spot_5bps_15s,0.999964
pull_rate_spot_1bps_60s,pull_rate_variants,pull_rate_1bps,2,pull_rate_spot_5bps_60s,0.999183
pull_rate_spot_1bps_persist_15s,pull_rate_variants,pull_rate_1bps_persist,2,pull_rate_spot_2bps_persist_15s,0.977704
pull_rate_spot_2bps_5s,pull_rate_variants,pull_rate_2bps,2,pull_rate_spot_5bps_5s,0.999308
queue_imb_fut_1bps_15s,queue_pressure_variants,queue_imb_1bps,2,queue_pressure_fut_1bps_15s,0.98671
queue_imb_fut_1bps_1s,queue_pressure_variants,queue_imb_1bps,2,queue_pressure_fut_1bps_1s,1.0
queue_imb_fut_1bps_60s,queue_pressure_variants,queue_imb_1bps,2,queue_pressure_fut_1bps_60s,0.986051
queue_imb_fut_2bps_1s,queue_pressure_variants,queue_imb_2bps,2,queue_pressure_fut_2bps_1s,1.0
queue_imb_fut_5bps_1s,queue_pressure_variants,queue_imb_5bps,2,queue_pressure_fut_5bps_1s,1.0
queue_imb_persist_fut_1bps_900s,queue_pressure_variants,queue_imb_persist_1bps,2,queue_pressure_persist_fut_1bps_900s,0.996438
queue_imb_spot_1bps_15s,queue_pressure_variants,queue_imb_1bps,2,queue_pressure_spot_1bps_15s,0.980133
queue_imb_spot_1bps_1s,queue_pressure_variants,queue_imb_1bps,2,queue_pressure_spot_1bps_1s,1.0
queue_imb_spot_1bps_60s,queue_pressure_variants,queue_imb_1bps,2,queue_pressure_spot_1bps_60s,0.983632
queue_imb_spot_2bps_1s,queue_pressure_variants,queue_imb_2bps,2,queue_pressure_spot_2bps_1s,1.0
queue_imb_spot_5bps_1s,queue_pressure_variants,queue_imb_5bps,2,queue_pressure_spot_5bps_1s,1.0
refill_rate_fut_1bps_15s,refill_rate_variants,refill_rate_1bps,2,refill_rate_fut_2bps_15s,0.957622
refill_rate_fut_1bps_persist_15s,refill_rate_variants,refill_rate_1bps_persist,2,refill_rate_fut_2bps_persist_15s,0.99112
refill_rate_spot_1bps_persist_15s,refill_rate_variants,refill_rate_1bps_persist,2,refill_rate_spot_2bps_persist_15s,0.982664
refill_vs_pull_div_fut_minus_spot_1bps_15s,pull_vs_refill,refill_vs_pull_div_minus_1bps,2,refill_vs_pull_spot_1bps_15s,0.999996
refill_vs_pull_div_fut_minus_spot_2bps_60s,pull_vs_refill,refill_vs_pull_div_minus_2bps,2,refill_vs_pull_spot_2bps_5s,1.0
trade_absorption_ratio_fut_1s,absorption_variants,trade_absorption_ratio,2,trade_absorption_ratio_fut_2bps_1s,1.0
basis_sf_mid_60s,basis_features,basis_sf_mid,1,basis_vwap_sf_60s,0.993705
book_asymmetry_div_fut_minus_spot_struct100_1s,book_shape_imbalance,book_asymmetry_div_minus_struct100,1,liq_imb_div_fut_minus_spot_struct100_1s,1.0
book_asymmetry_div_fut_minus_spot_struct100_300s,book_shape_imbalance,book_asymmetry_div_minus_struct100,1,liq_imb_div_fut_minus_spot_struct100_300s,1.0
book_asymmetry_div_fut_minus_spot_struct100_60s,book_shape_imbalance,book_asymmetry_div_minus_struct100,1,liq_imb_div_fut_minus_spot_struct100_60s,1.0
book_asymmetry_div_fut_minus_spot_struct100_900s,book_shape_imbalance,book_asymmetry_div_minus_struct100,1,liq_imb_div_fut_minus_spot_struct100_900s,1.0
book_asymmetry_div_fut_minus_spot_struct50_1s,book_shape_imbalance,book_asymmetry_div_minus_struct50,1,liq_imb_div_fut_minus_spot_struct50_1s,1.0
book_asymmetry_div_fut_minus_spot_struct50_300s,book_shape_imbalance,book_asymmetry_div_minus_struct50,1,liq_imb_div_fut_minus_spot_struct50_300s,1.0
book_asymmetry_div_fut_minus_spot_struct50_60s,book_shape_imbalance,book_asymmetry_div_minus_struct50,1,liq_imb_div_fut_minus_spot_struct50_60s,1.0
book_asymmetry_div_fut_minus_spot_struct50_900s,book_shape_imbalance,book_asymmetry_div_minus_struct50,1,liq_imb_div_fut_minus_spot_struct50_900s,1.0
book_asymmetry_fut_struct100_1s,book_shape_imbalance,book_asymmetry_struct100,1,depth_imbalance_struct100_fut_1s,1.0
book_asymmetry_fut_struct100_300s,book_shape_imbalance,book_asymmetry_struct100,1,liq_imb_fut_struct100_300s,1.0
book_asymmetry_fut_struct100_60s,book_shape_imbalance,book_asymmetry_struct100,1,liq_imb_fut_struct100_60s,1.0
book_asymmetry_fut_struct100_900s,book_shape_imbalance,book_asymmetry_struct100,1,liq_imb_fut_struct100_900s,1.0
book_asymmetry_fut_struct50_1s,book_shape_imbalance,book_asymmetry_struct50,1,depth_imbalance_struct50_fut_1s,1.0
book_asymmetry_fut_struct50_300s,book_shape_imbalance,book_asymmetry_struct50,1,liq_imb_fut_struct50_300s,1.0
book_asymmetry_fut_struct50_60s,book_shape_imbalance,book_asymmetry_struct50,1,liq_imb_fut_struct50_60s,1.0
book_asymmetry_fut_struct50_900s,book_shape_imbalance,book_asymmetry_struct50,1,liq_imb_fut_struct50_900s,1.0
book_asymmetry_spot_struct100_1s,book_shape_imbalance,book_asymmetry_struct100,1,depth_imbalance_struct100_spot_1s,1.0
book_asymmetry_spot_struct100_300s,book_shape_imbalance,book_asymmetry_struct100,1,liq_imb_spot_struct100_300s,1.0
book_asymmetry_spot_struct100_60s,book_shape_imbalance,book_asymmetry_struct100,1,liq_imb_spot_struct100_60s,1.0
book_asymmetry_spot_struct100_900s,book_shape_imbalance,book_asymmetry_struct100,1,liq_imb_spot_struct100_900s,1.0
book_asymmetry_spot_struct50_1s,book_shape_imbalance,book_asymmetry_struct50,1,depth_imbalance_struct50_spot_1s,1.0
book_asymmetry_spot_struct50_300s,book_shape_imbalance,book_asymmetry_struct50,1,liq_imb_spot_struct50_300s,1.0
book_asymmetry_spot_struct50_60s,book_shape_imbalance,book_asymmetry_struct50,1,liq_imb_spot_struct50_60s,1.0
book_asymmetry_spot_struct50_900s,book_shape_imbalance,book_asymmetry_struct50,1,liq_imb_spot_struct50_900s,1.0
d1_pull_rate_fut_10bps_15s,pull_rate_variants,d1_pull_rate_10bps,1,d1_pull_rate_fut_5bps_15s,0.999877
d1_pull_rate_fut_2bps_5s,pull_rate_variants,d1_pull_rate_2bps,1,d1_pull_rate_fut_5bps_5s,0.998634
d1_pull_rate_spot_10bps_15s,pull_rate_variants,d1_pull_rate_10bps,1,d1_pull_rate_spot_5bps_15s,0.999927
d1_pull_rate_spot_2bps_5s,pull_rate_variants,d1_pull_rate_2bps,1,d1_pull_rate_spot_5bps_5s,0.9991
d2_pull_rate_fut_10bps_15s,pull_rate_variants,d2_pull_rate_10bps,1,d2_pull_rate_fut_5bps_15s,0.999883
d2_pull_rate_fut_2bps_5s,pull_rate_variants,d2_pull_rate_2bps,1,d2_pull_rate_fut_5bps_5s,0.998693
d2_pull_rate_spot_10bps_15s,pull_rate_variants,d2_pull_rate_10bps,1,d2_pull_rate_spot_5bps_15s,0.999932
d2_pull_rate_spot_2bps_5s,pull_rate_variants,d2_pull_rate_2bps,1,d2_pull_rate_spot_5bps_5s,0.999172
depth_gradient_ask_fut_struct50_300s,depth_notional_variants,depth_gradient_ask_struct50,1,depth_gradient_bid_fut_struct50_300s,0.984537
depth_gradient_ask_fut_struct50_60s,depth_notional_variants,depth_gradient_ask_struct50,1,depth_gradient_bid_fut_struct50_60s,0.957838
depth_gradient_ask_fut_struct50_900s,depth_notional_variants,depth_gradient_ask_struct50,1,depth_gradient_bid_fut_struct50_900s,0.991162
depth_gradient_ask_spot_struct50_300s,depth_notional_variants,depth_gradient_ask_struct50,1,depth_gradient_bid_spot_struct50_300s,0.961307
depth_gradient_ask_spot_struct50_900s,depth_notional_variants,depth_gradient_ask_struct50,1,depth_gradient_bid_spot_struct50_900s,0.974468
depth_gradient_div_fut_minus_spot_struct100_1s,depth_notional_variants,depth_gradient_div_minus_struct100,1,depth_gradient_spot_struct100_1s,0.999117
depth_gradient_div_fut_minus_spot_struct100_300s,depth_notional_variants,depth_gradient_div_minus_struct100,1,depth_gradient_spot_struct100_300s,1.0
depth_gradient_div_fut_minus_spot_struct100_60s,depth_notional_variants,depth_gradient_div_minus_struct100,1,depth_gradient_spot_struct100_60s,1.0
depth_gradient_div_fut_minus_spot_struct100_900s,depth_notional_variants,depth_gradient_div_minus_struct100,1,depth_gradient_spot_struct100_900s,1.0
impact_per_liquidity_fut_2bps_300s,impact_variants,impact_per_liquidity_2bps,1,impact_per_liquidity_fut_5bps_300s,0.978586
impact_per_liquidity_fut_2bps_60s,impact_variants,impact_per_liquidity_2bps,1,impact_per_liquidity_fut_5bps_60s,0.982611
impact_per_liquidity_fut_2bps_900s,impact_variants,impact_per_liquidity_2bps,1,impact_per_liquidity_fut_5bps_900s,0.970202
liq_concentration_ask_fut_struct50_1s,liq_concentration_variants,liq_concentration_ask_struct50,1,liq_concentration_bid_fut_struct50_1s,0.997611
liq_concentration_ask_fut_struct50_300s,liq_concentration_variants,liq_concentration_ask_struct50,1,liq_concentration_bid_fut_struct50_300s,0.999934
liq_concentration_ask_fut_struct50_900s,liq_concentration_variants,liq_concentration_ask_struct50,1,liq_concentration_bid_fut_struct50_900s,0.999966
liq_concentration_ask_spot_struct50_300s,liq_concentration_variants,liq_concentration_ask_struct50,1,liq_concentration_bid_spot_struct50_300s,0.984971
liq_concentration_ask_spot_struct50_60s,liq_concentration_variants,liq_concentration_ask_struct50,1,liq_concentration_bid_spot_struct50_60s,0.968669
liq_concentration_ask_spot_struct50_900s,liq_concentration_variants,liq_concentration_ask_struct50,1,liq_concentration_bid_spot_struct50_900s,0.990952
liq_concentration_bid_fut_struct50_60s,liq_concentration_variants,liq_concentration_bid_struct50,1,liq_concentration_fut_struct50_60s,0.969647
liq_concentration_div_fut_minus_spot_struct50_1s,liq_concentration_variants,liq_concentration_div_minus_struct50,1,liq_concentration_spot_struct50_1s,0.999999
mad_pull_rate_fut_10bps_15s,pull_rate_variants,mad_pull_rate_10bps,1,mad_pull_rate_fut_5bps_15s,1.0
mad_pull_rate_fut_1bps_60s,pull_rate_variants,mad_pull_rate_1bps,1,mad_pull_rate_fut_5bps_60s,0.998906
mad_pull_rate_fut_2bps_5s,pull_rate_variants,mad_pull_rate_2bps,1,mad_pull_rate_fut_5bps_5s,0.999747
mad_pull_rate_spot_10bps_15s,pull_rate_variants,mad_pull_rate_10bps,1,mad_pull_rate_spot_5bps_15s,1.0
mad_pull_rate_spot_1bps_60s,pull_rate_variants,mad_pull_rate_1bps,1,mad_pull_rate_spot_5bps_60s,0.999459
mad_pull_rate_spot_2bps_5s,pull_rate_variants,mad_pull_rate_2bps,1,mad_pull_rate_spot_5bps_5s,1.0
median_pull_rate_fut_10bps_15s,pull_rate_variants,median_pull_rate_10bps,1,median_pull_rate_fut_5bps_15s,0.999921
median_pull_rate_fut_1bps_60s,pull_rate_variants,median_pull_rate_1bps,1,median_pull_rate_fut_5bps_60s,0.998504
median_pull_rate_fut_2bps_5s,pull_rate_variants,median_pull_rate_2bps,1,median_pull_rate_fut_5bps_5s,0.998769
median_pull_rate_spot_10bps_15s,pull_rate_variants,median_pull_rate_10bps,1,median_pull_rate_spot_5bps_15s,0.999961
median_pull_rate_spot_1bps_60s,pull_rate_variants,median_pull_rate_1bps,1,median_pull_rate_spot_5bps_60s,0.999319
median_pull_rate_spot_2bps_5s,pull_rate_variants,median_pull_rate_2bps,1,median_pull_rate_spot_5bps_5s,0.999233
median_queue_pressure_fut_5bps_5s,queue_pressure_variants,median_queue_pressure_5bps,1,queue_pressure_fut_5bps_5s,0.957945
net_add_fut_10bps_1s,net_pressure_variants,net_add_10bps,1,net_add_pressure_fut_10bps_1s,1.0
net_add_fut_10bps_5s,net_pressure_variants,net_add_10bps,1,net_pressure_fut_10bps_5s,1.0
net_add_fut_2bps_1s,net_pressure_variants,net_add_2bps,1,net_add_pressure_fut_2bps_1s,1.0
net_add_fut_2bps_5s,net_pressure_variants,net_add_2bps,1,net_pressure_fut_2bps_5s,1.0
net_add_fut_5bps_1s,net_pressure_variants,net_add_5bps,1,net_add_pressure_fut_5bps_1s,1.0
net_add_fut_5bps_5s,net_pressure_variants,net_add_5bps,1,net_pressure_fut_5bps_5s,1.0
net_add_pressure_fut_10bps_15s,net_pressure_variants,net_add_pressure_10bps,1,net_pressure_fut_10bps_15s,1.0
net_add_pressure_fut_10bps_60s,net_pressure_variants,net_add_pressure_10bps,1,net_pressure_fut_10bps_60s,1.0
net_add_pressure_fut_2bps_15s,net_pressure_variants,net_add_pressure_2bps,1,net_pressure_fut_2bps_15s,1.0
net_add_pressure_fut_2bps_60s,net_pressure_variants,net_add_pressure_2bps,1,net_pressure_fut_2bps_60s,1.0
net_add_pressure_fut_5bps_15s,net_pressure_variants,net_add_pressure_5bps,1,net_pressure_fut_5bps_15s,1.0
net_add_pressure_fut_5bps_60s,net_pressure_variants,net_add_pressure_5bps,1,net_pressure_fut_5bps_60s,1.0
net_add_pressure_spot_10bps_1s,net_pressure_variants,net_add_pressure_10bps,1,net_add_spot_10bps_1s,1.0
net_add_pressure_spot_2bps_1s,net_pressure_variants,net_add_pressure_2bps,1,net_add_spot_2bps_1s,1.0
net_add_pressure_spot_5bps_1s,net_pressure_variants,net_add_pressure_5bps,1,net_add_spot_5bps_1s,1.0
net_add_robust_z_fut_10bps_60s,net_pressure_variants,net_add_robust_z_10bps,1,net_pressure_robust_z_fut_10bps_60s,1.0
net_add_robust_z_fut_5bps_60s,net_pressure_variants,net_add_robust_z_5bps,1,net_pressure_robust_z_fut_5bps_60s,1.0
net_add_robust_z_spot_10bps_60s,net_pressure_variants,net_add_robust_z_10bps,1,net_pressure_robust_z_spot_10bps_60s,1.0
net_add_robust_z_spot_5bps_60s,net_pressure_variants,net_add_robust_z_5bps,1,net_pressure_robust_z_spot_5bps_60s,1.0
net_add_spot_10bps_15s,net_pressure_variants,net_add_10bps,1,net_pressure_spot_10bps_15s,1.0
net_add_spot_10bps_5s,net_pressure_variants,net_add_10bps,1,net_pressure_spot_10bps_5s,1.0
net_add_spot_10bps_60s,net_pressure_variants,net_add_10bps,1,net_pressure_spot_10bps_60s,1.0
net_add_spot_2bps_15s,net_pressure_variants,net_add_2bps,1,net_pressure_spot_2bps_15s,1.0
net_add_spot_2bps_5s,net_pressure_variants,net_add_2bps,1,net_pressure_spot_2bps_5s,1.0
net_add_spot_2bps_60s,net_pressure_variants,net_add_2bps,1,net_pressure_spot_2bps_60s,1.0
net_add_spot_5bps_15s,net_pressure_variants,net_add_5bps,1,net_pressure_spot_5bps_15s,1.0
net_add_spot_5bps_5s,net_pressure_variants,net_add_5bps,1,net_pressure_spot_5bps_5s,1.0
net_add_spot_5bps_60s,net_pressure_variants,net_add_5bps,1,net_pressure_spot_5bps_60s,1.0
